id,title,year,label,label_link,catalog_no,genre,links_wiki,photo_path,media,format,compilation,release_type,record_format,release_area,tracks,description,public
40,Field Recordings from the Cook County Water Table,1999,Thrill Jockey,www.thrilljockey.com,THRILL070,,,.fieldrecordings.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>After the Internationals</li>\r\n<li>Returns to the Orange Grove</li>\r\n<li>The Field Code</li>\r\n<li>This Is Where We Sleep</li>\r\n<li>Another Routine Day Breaks</li>\r\n<li>We Let the \'S\' Hang in the Air</li>\r\n<li>The Wilson Ave. Bridge at the Chicago River, 1953</li>\r\n<li>The Flat Curving</li>\r\n<li>A Blueprint</li>\r\n<li>Seiche 2</li>\r\n<li>The Great Banks</li>\r\n<li>Sometimes a Cold Rain Can Push Down on the Back of Your Head</li>\r\n</ol></p>",,1
41,Viewfinder,2001,Thrill Jockey,www.thrilljockey.com,THRILL090,,,.viewfinder.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Same Grain with New Wood</li>\r\n<li>Delta One</li>\r\n<li>Or, Otherwise</li>\r\n<li>Forty Fingers</li>\r\n<li>Flt</li>\r\n<li>Hatah</li>\r\n<li>Isla Mujeres</li>\r\n<li>Chicken Smoked Blanket</li>\r\n<li>Bookends</li>\r\n<li>Felucca</li>\r\n<li>Quantum Mechanic</li>\r\n<li>Narrow Canyon</li>\r\n<li>Street Light</li>\r\n<li>Wire and One Good Shoe</li>\r\n<li>Brewster Road</li>\r\n</ol></p>",,1
42,Turnstyles & Junkpiles,1998,Thrill Jockey,www.thrilljockey.com,THRILL055,Instrumental Country Folk,,.turnstyles.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>To Hold Down a Shadow</li>\r\n<li>Barefoot</li>\r\n<li>In a Box, Under the Bed</li>\r\n<li>Sagamore Bridge</li>\r\n<li>Gravenhurst</li>\r\n<li>Lyasnya</li>\r\n<li>Two Parts Water</li>\r\n<li>Beacon &amp; Kent</li>\r\n<li>Deer Hill</li>\r\n<li>So Breaks Yesterday</li>\r\n<li>Fullerton</li>\r\n<li>Sunday Morning Traffic</li>\r\n<li>Tall Grass</li>\r\n<li>With Hands</li>\r\n</ol></p>",,1
43,Antlers: Live 1991,2005,Blue Chopsticks,,BC14,Instrumental Rock,Bastro,43.antlers.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Antlers</li>\r\n<li>Hirscheneck</li>\r\n<li>Educated Fool</li>\r\n<li>Metal Legs</li>\r\n<li>Sleepy Taste</li>\r\n<li>Beatlenacht</li>\r\n<li>Glistery</li>\r\n</ol></p>",,1
45,Bumps,2007,Stones Throw,www.stonesthrow.com,STH2157,Instrumental Drum,,.bumps.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>A Safe Balm</li>\r\n<li>Biotic Discussion</li>\r\n<li>...As Bond Did</li>\r\n<li>Crass Jenny</li>\r\n<li>Craven</li>\r\n<li>Deal Tree</li>\r\n<li>Hello, Leo</li>\r\n<li>Can You See?</li>\r\n<li>Sniper Growl</li>\r\n<li>OK!!!</li>\r\n<li>A Dumb Month</li>\r\n<li>Baby Johann</li>\r\n<li>Exponent Memoir</li>\r\n<li>Nashira</li>\r\n<li>Fun Injury</li>\r\n<li>Dawn at Dawn</li>\r\n<li>Bin Johnston</li>\r\n<li>Intermission Pt. 1</li>\r\n<li>Intermission Pt. 2</li>\r\n<li>Thorny Joint</li>\r\n<li>Tryplmeade Gorsmatch</li>\r\n<li>Don\t Cry, My Son</li>\r\n<li>Swingland Hit</li>\r\n</ol></p>",,1
46,5ive Style,1995,Sub Pop,www.subpop.com,SP309,Instrumental Rock,,.5ive.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Deep Marsh</li>\r\n<li>Hard Afro Rubalon</li>\r\n<li>Once Around the Park</li>\r\n<li>Round Up</li>\r\n<li>I Told Ya</li>\r\n<li>Outta Space Canoe Race</li>\r\n<li>Apple Pie</li>\r\n<li>Waiting on the Eclipse</li>\r\n<li>Freddy Flakeout</li>\r\n<li>Sure Is Hot</li>\r\n</ol></p>",,1
47,Miniature Portraits,1999,Sub Pop,www.subpop.com,SPCD479,Instrumental Rock,,.miniature.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Mythical Numbers</li>\r\n<li>Marmy the Count</li>\r\n<li>Father Time</li>\r\n<li>The Lost Oar</li>\r\n<li>Here We Go</li>\r\n<li>Pledge Drive</li>\r\n<li>Wrong About You</li>\r\n<li>Hit the Decks</li>\r\n<li>The Fancy Dance in Jeremy\s Pants</li>\r\n<li>Sailor Girl Song</li>\r\n<li>Pet the Cow</li>\r\n<li>Playful Sounds for Hostile GroundsReprise)</li>\r\n</ol></p>",,1
48,Bad Timing,1997,Drag City,www.dragcity.com,DC120,,Bad_Timing_(album),48.badtiming.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>There\s Hell in Hello but More in Goodbye</li>\r\n<li>94 the Long Way</li>\r\n<li>Bad Timing</li>\r\n<li>Happy Trails</li>\r\n</ol></p>",,1
50,Eureka,1999,Drag City,www.dragcity.com,DC162,Rock,Eureka_(Jim_O%27Rourke_album),.eureka.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Prelude to 110 or 220/Women of the World</li>\r\n<li>Ghost Ship in a Storm</li>\r\n<li>Movie on the Way Down</li>\r\n<li>Through the Night Softly</li>\r\n<li>Please Patronize Our Sponsors</li>\r\n<li>Something Big</li>\r\n<li>Eureka</li>\r\n<li>Happy Holidays</li>\r\n</ol></p>",,1
51,Halfway to a Threeway,1999,Drag City,www.dragcity.com,DC178,Rock,Halfway_to_a_Threeway,.halfway.jpeg,CD,Single Disc,null,EP,,Domestic,"<p><ol>\r\n<li>Fuzzy Sun</li>\r\n<li>Not Sport, Martial Art</li>\r\n<li>The Workplace</li>\r\n<li>Halfway to a Threeway</li>\r\n</ol></p>",,1
