album,artist,role,contribution
Whos Your New Professor,Archer Prewitt,Band Member,Guitar, Piano
Whos Your New Professor,Chad Taylor,Band Member,Drums
Whos Your New Professor,John McEntire,Guest Musician,Synthesizer, Percussion
Whos Your New Professor,Tim Iseler,Production or Other,Recording
Sam Prekop,Sam Prekop,Band Member,Vocals, Guitar, Piano, Electric Piano
Sam Prekop,Joshua Abrams,Band Member,Bass, Piano, Electric Bass
Sam Prekop,Chad Taylor,Band Member,Percussion
Sam Prekop,Archer Prewitt,Band Member,Guitar, Piano
Sam Prekop,Jim O'Rourke,Band Member,Organ, Backing Vocals, Synthesized Strings, Guitar, Six-String Bass, Electric Piano, Slide Guitar, String Arrangements, Horn Arrangements
Sam Prekop,Rob Mazurek,Guest Musician,Cornet3, 6 Horn Arrangements
Sam Prekop,John McEntire,Guest Musician,Triangle6 Maracas10 Tambourine10)
Sam Prekop,Julie Pomerleau,Guest Musician,Violin1, 5, 10 Viola1, 5, 10)
Heroic Doses,Bill Dolan,Band Member,Guitar, Bass1, 11, 12, 13)
Heroic Doses,Ryan Rapsys,Band Member,Drums, Bass4, 7)
Heroic Doses,Nick Macri,Band Member,Bass
The Calendar of Unlucky Days,Ryan Rapsys,Band Member,None specified
The Calendar of Unlucky Days,Nick Macri,Band Member,None specified
The Calendar of Unlucky Days,Rick Valentin,Production or Other,Recording
The Calendar of Unlucky Days,Mark Rubel,Production or Other,Recording
The Big Come Up,Daniel Quine Auerbach (Dan Auerbach),Band Member,Vocals, Guitar
The Big Come Up,Patrick Carney,Band Member,Drums, guitar, bass guitar, keyboard
The Lakewood,Jeremy Jacobsen,Band Member,None specified
The Lakewood,Nick Macri,Band Member,None specified
The Lakewood,Ryan Rapsys,Band Member,None specified
Hashin It Out,Jeremy Jacobsen,Band Member,Lead Guitar, Guitar, Organ, Vibes, Farfisa, Piano
